year,data_mean_global,data_mean_nh,data_mean_sh
2306,341.842999739678,341.843120065334,341.842879414022
2307,341.814999739678,341.815120065335,341.814879414022
2308,341.786999739678,341.787120065334,341.786879414022
2309,341.758999739678,341.759120065334,341.758879414022
2310,341.730999739678,341.731120065334,341.730879414022
2311,341.702999739678,341.703120065335,341.702879414022
2312,341.674999739678,341.675120065335,341.674879414022
2313,341.646999739678,341.647120065334,341.646879414021
2314,341.618999739678,341.619120065334,341.618879414022
2315,341.590999739678,341.591120065334,341.590879414022
2316,341.562999739678,341.563120065335,341.562879414022
2317,341.534999739678,341.535120065334,341.534879414022
2318,341.506999739678,341.507120065334,341.506879414022
2319,341.477999739678,341.478120065334,341.477879414021
2320,341.449999739678,341.450120065334,341.449879414021
2321,341.421999739678,341.422120065335,341.421879414022
2322,341.393999739678,341.394120065335,341.393879414022
2323,341.365999739678,341.366120065335,341.365879414022
2324,341.337999739678,341.338120065335,341.337879414022
2325,341.309999739678,341.310120065334,341.309879414022
2326,341.281999739679,341.282120065335,341.281879414022
2327,341.253999739679,341.254120065335,341.253879414022
2328,341.225999739678,341.226120065335,341.225879414022
2329,341.196999739678,341.197120065334,341.196879414022
2330,341.168999739677,341.169120065334,341.168879414021
2331,341.140999739678,341.141120065334,341.140879414021
2332,341.112999739678,341.113120065335,341.112879414022
2333,341.083999739677,341.084120065334,341.083879414021
2334,341.055999739678,341.056120065335,341.055879414022
2335,341.027999739678,341.028120065334,341.027879414022
2336,340.999999739678,341.000120065334,340.999879414022
2337,340.970999739678,340.971120065334,340.970879414021
2338,340.942999739678,340.943120065335,340.942879414022
2339,340.913999739678,340.914120065335,340.913879414022
2340,340.885999739679,340.886120065335,340.885879414022
2341,340.856999739678,340.857120065335,340.856879414022
2342,340.828999739678,340.829120065334,340.828879414022
2343,340.799999739678,340.800120065335,340.799879414022
2344,340.770999739678,340.771120065334,340.770879414021
2345,340.742999739678,340.743120065335,340.742879414022
2346,340.713999739679,340.714120065335,340.713879414022
2347,340.684999739678,340.685120065334,340.684879414021
2348,340.655999739678,340.656120065334,340.655879414022
2349,340.626999739679,340.627120065335,340.626879414023
2350,340.597999739679,340.598120065335,340.597879414022
2351,340.568999739678,340.569120065334,340.568879414022
2352,340.539999739678,340.540120065334,340.539879414022
2353,340.510999739679,340.511120065335,340.510879414022
2354,340.480999739679,340.481120065335,340.480879414022
2355,340.451999739677,340.452120065334,340.451879414021
2356,340.422999739678,340.423120065335,340.422879414022
2357,340.393999739678,340.394120065334,340.393879414021
2358,340.364999739678,340.365120065335,340.364879414022
2359,340.335999739679,340.336120065335,340.335879414022
2360,340.306999739679,340.307120065335,340.306879414022
2361,340.277999739678,340.278120065334,340.277879414022
2362,340.249999739677,340.250120065334,340.249879414021
2363,340.220999739678,340.221120065335,340.220879414022
2364,340.192999739678,340.193120065334,340.192879414021
2365,340.164999739679,340.165120065335,340.164879414022
2366,340.136999739677,340.137120065333,340.136879414021
2367,340.107999739678,340.108120065335,340.107879414022
2368,340.079999739677,340.080120065334,340.079879414021
2369,340.051999739677,340.052120065333,340.05187941402
2370,340.024999739678,340.025120065334,340.024879414022
2371,339.996999739678,339.997120065334,339.996879414022
2372,339.968999739679,339.969120065336,339.968879414023
2373,339.940999739679,339.941120065336,339.940879414023
2374,339.913999739678,339.914120065334,339.913879414021
2375,339.885999739678,339.886120065335,339.885879414022
2376,339.858999739679,339.859120065335,339.858879414022
2377,339.830999739678,339.831120065334,339.830879414022
2378,339.803999739678,339.804120065335,339.803879414022
2379,339.776999739678,339.777120065334,339.776879414021
2380,339.749999739677,339.750120065333,339.74987941402
2381,339.722999739678,339.723120065334,339.722879414021
2382,339.695999739679,339.696120065335,339.695879414022
2383,339.668999739679,339.669120065335,339.668879414022
2384,339.641999739678,339.642120065334,339.641879414021
2385,339.614999739677,339.615120065334,339.614879414021
2386,339.587999739677,339.588120065333,339.587879414021
2387,339.560999739678,339.561120065334,339.560879414022
2388,339.534999739679,339.535120065336,339.534879414023
2389,339.507999739677,339.508120065334,339.507879414021
2390,339.480999739678,339.481120065335,339.480879414022
2391,339.454999739678,339.455120065334,339.454879414022
2392,339.428999739678,339.429120065335,339.428879414022
2393,339.401999739677,339.402120065334,339.401879414021
2394,339.375999739679,339.376120065335,339.375879414022
2395,339.349999739677,339.350120065334,339.349879414021
2396,339.322999739678,339.323120065335,339.322879414022
2397,339.296999739679,339.297120065335,339.296879414023
2398,339.270999739679,339.271120065335,339.270879414022
2399,339.244999739677,339.245120065333,339.24487941402
2400,339.218999739677,339.219120065334,339.218879414021
2401,339.192999739678,339.193120065334,339.192879414021
2402,339.166999739678,339.167120065334,339.166879414022
2403,339.140999739678,339.141120065334,339.140879414022
2404,339.115999739678,339.116120065334,339.115879414022
2405,339.089999739678,339.090120065334,339.089879414022
2406,339.063999739678,339.064120065335,339.063879414022
2407,339.038999739678,339.039120065334,339.038879414022
2408,339.012999739678,339.013120065334,339.012879414022
2409,338.987999739678,338.988120065334,338.987879414022
2410,338.961999739678,338.962120065334,338.961879414021
2411,338.936999739678,338.937120065334,338.936879414022
2412,338.910999739678,338.911120065334,338.910879414022
2413,338.885999739678,338.886120065334,338.885879414022
2414,338.860999739678,338.861120065334,338.860879414022
2415,338.834999739678,338.835120065335,338.834879414022
2416,338.809999739678,338.810120065334,338.809879414022
2417,338.784999739678,338.785120065335,338.784879414022
2418,338.759999739678,338.760120065335,338.759879414022
2419,338.734999739678,338.735120065335,338.734879414022
2420,338.709999739678,338.710120065334,338.709879414022
2421,338.684999739678,338.685120065334,338.684879414021
2422,338.659999739679,338.660120065335,338.659879414022
2423,338.635999739678,338.636120065335,338.635879414022
2424,338.610999739678,338.611120065334,338.610879414021
2425,338.585999739678,338.586120065335,338.585879414022
2426,338.560999739678,338.561120065334,338.560879414021
2427,338.536999739678,338.537120065334,338.536879414021
2428,338.511999739678,338.512120065335,338.511879414022
2429,338.487999739678,338.488120065334,338.487879414022
2430,338.462999739678,338.463120065335,338.462879414022
2431,338.438999739678,338.439120065334,338.438879414021
2432,338.413999739678,338.414120065334,338.413879414021
2433,338.389999739678,338.390120065335,338.389879414022
2434,338.365999739678,338.366120065334,338.365879414022
2435,338.340999739678,338.341120065334,338.340879414021
2436,338.316999739677,338.317120065334,338.316879414021
2437,338.292999739677,338.293120065334,338.292879414021
2438,338.268999739678,338.269120065334,338.268879414021
2439,338.244999739679,338.245120065335,338.244879414022
2440,338.220999739678,338.221120065335,338.220879414022
2441,338.196999739678,338.197120065335,338.196879414022
2442,338.172999739679,338.173120065335,338.172879414022
2443,338.148999739679,338.149120065335,338.148879414022
2444,338.124999739677,338.125120065334,338.124879414021
2445,338.100999739679,338.101120065335,338.100879414022
2446,338.076999739678,338.077120065334,338.076879414021
2447,338.052999739679,338.053120065335,338.052879414022
2448,338.029999739679,338.030120065335,338.029879414022
2449,338.005999739678,338.006120065335,338.005879414022
2450,337.981999739678,337.982120065335,337.981879414022
2451,337.958999739679,337.959120065335,337.958879414022
2452,337.934999739678,337.935120065334,337.934879414021
2453,337.911999739677,337.912120065334,337.911879414021
2454,337.887999739677,337.888120065334,337.887879414021
2455,337.864999739678,337.865120065334,337.864879414021
2456,337.841999739678,337.842120065335,337.841879414022
2457,337.817999739678,337.818120065335,337.817879414022
2458,337.794999739677,337.795120065334,337.794879414021
2459,337.771999739678,337.772120065334,337.771879414021
2460,337.748999739679,337.749120065335,337.748879414022
2461,337.724999739678,337.725120065335,337.724879414022
2462,337.701999739679,337.702120065335,337.701879414022
2463,337.678999739677,337.679120065333,337.678879414021
2464,337.655999739678,337.656120065334,337.655879414022
2465,337.632999739679,337.633120065335,337.632879414022
2466,337.609999739677,337.610120065334,337.609879414021
2467,337.586999739678,337.587120065335,337.586879414022
2468,337.563999739679,337.564120065335,337.563879414023
2469,337.541999739677,337.542120065334,337.541879414021
2470,337.518999739678,337.519120065334,337.518879414022
2471,337.495999739678,337.496120065335,337.495879414022
2472,337.472999739678,337.473120065334,337.472879414022
2473,337.450999739679,337.451120065335,337.450879414022
2474,337.427999739678,337.428120065334,337.427879414022
2475,337.404999739679,337.405120065335,337.404879414022
2476,337.382999739677,337.383120065334,337.382879414021
2477,337.359999739678,337.360120065334,337.359879414022
2478,337.337999739678,337.338120065335,337.337879414022
2479,337.314999739678,337.315120065334,337.314879414021
2480,337.292999739677,337.293120065333,337.292879414021
2481,337.270999739678,337.271120065334,337.270879414022
2482,337.247999739678,337.248120065335,337.247879414022
2483,337.225999739678,337.226120065334,337.225879414021
2484,337.203999739679,337.204120065336,337.203879414023
2485,337.180999739678,337.181120065335,337.180879414022
2486,337.158999739679,337.159120065335,337.158879414022
2487,337.136999739677,337.137120065333,337.136879414021
2488,337.114999739679,337.115120065335,337.114879414022
2489,337.092999739678,337.093120065334,337.092879414021
2490,337.070999739677,337.071120065333,337.07087941402
2491,337.04899973968,337.049120065336,337.048879414023
2492,337.026999739677,337.027120065334,337.026879414021
2493,337.004999739679,337.005120065336,337.004879414023
2494,336.982999739677,336.983120065334,336.982879414021
2495,336.960999739677,336.961120065334,336.960879414021
2496,336.939999739679,336.940120065335,336.939879414022
2497,336.917999739679,336.918120065335,336.917879414023
2498,336.895999739678,336.896120065335,336.895879414022
2499,336.873999739678,336.874120065335,336.873879414022
2500,336.862999739678,336.863120065334,336.862879414022
