Time (year),co2 (ppm)
2393.5,691.0270385742188
2394.5,690.8079223632812
2395.5,690.5947875976562
2396.5,690.3983154296875
2397.5,690.196533203125
2398.5,690.0128173828125
2399.5,689.8009033203125
2400.5,689.5863647460938
2401.5,689.3648071289062
2402.5,689.1649780273438
2403.5,688.95947265625
2404.5,688.780517578125
2405.5,688.5843505859375
2406.5,688.3839721679688
2407.5,688.1738891601562
2408.5,687.9773559570312
2409.5,687.7709350585938
2410.5,687.5831298828125
2411.5,687.3890991210938
2412.5,687.2030029296875
2413.5,687.021484375
2414.5,686.8298950195312
2415.5,686.63330078125
2416.5,686.4317016601562
2417.5,686.2486572265625
2418.5,686.0533447265625
2419.5,685.8644409179688
2420.5,685.691650390625
2421.5,685.496826171875
2422.5,685.3207397460938
2423.5,685.1288452148438
2424.5,684.9469604492188
2425.5,684.7587890625
2426.5,684.5657958984375
2427.5,684.3767700195312
2428.5,684.2135620117188
2429.5,684.0374145507812
2430.5,683.8651733398438
2431.5,683.6719970703125
2432.5,683.4901123046875
2433.5,683.3013916015625
2434.5,683.134765625
2435.5,682.9522094726562
2436.5,682.7785034179688
2437.5,682.598876953125
2438.5,682.42626953125
2439.5,682.244384765625
2440.5,682.0780639648438
2441.5,681.8912963867188
2442.5,681.7139892578125
2443.5,681.5343017578125
2444.5,681.3605346679688
2445.5,681.1990356445312
2446.5,681.0320434570312
2447.5,680.8655395507812
2448.5,680.697021484375
2449.5,680.5194091796875
2450.5,680.3501586914062
2451.5,680.1738891601562
2452.5,680.0194702148438
2453.5,679.8577880859375
2454.5,679.702392578125
2455.5,679.5419311523438
2456.5,679.3789672851562
2457.5,679.21240234375
2458.5,679.0530395507812
2459.5,678.8932495117188
2460.5,678.7293701171875
2461.5,678.5698852539062
2462.5,678.4169921875
2463.5,678.2491455078125
2464.5,678.093505859375
2465.5,677.92919921875
2466.5,677.7681274414062
2467.5,677.6002807617188
2468.5,677.447265625
2469.5,677.281982421875
2470.5,677.1323852539062
2471.5,676.9762573242188
2472.5,676.8198852539062
2473.5,676.6710815429688
2474.5,676.5157470703125
2475.5,676.3511352539062
2476.5,676.211669921875
2477.5,676.05810546875
2478.5,675.9083251953125
2479.5,675.7527465820312
2480.5,675.6041259765625
2481.5,675.4454956054688
2482.5,675.3045043945312
2483.5,675.1525268554688
2484.5,674.9947509765625
2485.5,674.8379516601562
2486.5,674.68798828125
2487.5,674.5510864257812
2488.5,674.394287109375
2489.5,674.2562866210938
2490.5,674.1029663085938
2491.5,673.9533081054688
2492.5,673.8093872070312
2493.5,673.6555786132812
2494.5,673.5170288085938
2495.5,673.367919921875
2496.5,673.225830078125
2497.5,673.091796875
2498.5,672.95361328125
2499.5,672.8085327148438
2500.5,672.6923217773438
2501.5,672.5558471679688
2502.5,672.4212036132812
2503.5,672.2798461914062
2504.5,672.1580810546875
2505.5,672.010498046875
2506.5,671.8790283203125
2507.5,671.74609375
2508.5,671.61669921875
2509.5,671.4920043945312
2510.5,671.3599243164062
2511.5,671.2265625
2512.5,671.1036376953125
2513.5,670.9736938476562
2514.5,670.8460083007812
2515.5,670.7159423828125
2516.5,670.6015625
2517.5,670.4765625
2518.5,670.3613891601562
2519.5,670.2398681640625
2520.5,670.1063232421875
2521.5,669.9786376953125
2522.5,669.8531494140625
2523.5,669.7367553710938
2524.5,669.626953125
2525.5,669.5162353515625
2526.5,669.3936157226562
2527.5,669.27783203125
2528.5,669.1555786132812
2529.5,669.0372314453125
2530.5,668.927001953125
2531.5,668.8235473632812
2532.5,668.7098999023438
2533.5,668.5953369140625
2534.5,668.4928588867188
2535.5,668.3707275390625
2536.5,668.26708984375
2537.5,668.151123046875
2538.5,668.0410766601562
2539.5,667.9349975585938
2540.5,667.838134765625
2541.5,667.7255249023438
2542.5,667.6343383789062
2543.5,667.5255737304688
2544.5,667.4202880859375
2545.5,667.294677734375
2546.5,667.1912231445312
2547.5,667.0857543945312
2548.5,666.9927368164062
2549.5,666.8833618164062
2550.5,666.77978515625
2551.5,666.6722412109375
2552.5,666.571533203125
2553.5,666.47119140625
2554.5,666.3648071289062
2555.5,666.2763061523438
2556.5,666.1751098632812
2557.5,666.078125
2558.5,665.9886474609375
2559.5,665.886962890625
2560.5,665.8028564453125
2561.5,665.6973266601562
2562.5,665.5943603515625
2563.5,665.4949951171875
2564.5,665.3969116210938
2565.5,665.2894897460938
2566.5,665.207275390625
2567.5,665.1113891601562
2568.5,665.033203125
2569.5,664.9420166015625
2570.5,664.8593139648438
2571.5,664.7581176757812
2572.5,664.66748046875
2573.5,664.567138671875
2574.5,664.4786376953125
2575.5,664.38525390625
2576.5,664.31103515625
2577.5,664.2086181640625
2578.5,664.1192626953125
2579.5,664.0224609375
2580.5,663.9376220703125
2581.5,663.8457641601562
2582.5,663.7587280273438
2583.5,663.6670532226562
2584.5,663.593505859375
2585.5,663.5028686523438
2586.5,663.417236328125
2587.5,663.3247680664062
2588.5,663.2396850585938
2589.5,663.1436157226562
2590.5,663.072998046875
2591.5,662.990234375
2592.5,662.9102172851562
2593.5,662.8308715820312
2594.5,662.7576293945312
2595.5,662.6771850585938
2596.5,662.60302734375
2597.5,662.516357421875
2598.5,662.4417724609375
2599.5,662.3515014648438
2600.5,662.2753295898438
2601.5,662.1837768554688
2602.5,662.1082763671875
2603.5,662.0240478515625
2604.5,661.9503173828125
2605.5,661.8711547851562
2606.5,661.79052734375
2607.5,661.7127685546875
2608.5,661.6441650390625
2609.5,661.5697631835938
2610.5,661.4852294921875
2611.5,661.405517578125
2612.5,661.337890625
2613.5,661.2450561523438
2614.5,661.1719360351562
2615.5,661.0977783203125
2616.5,661.0255126953125
2617.5,660.9466552734375
2618.5,660.8764038085938
2619.5,660.803466796875
2620.5,660.742431640625
2621.5,660.66357421875
2622.5,660.60107421875
2623.5,660.51513671875
2624.5,660.4475708007812
2625.5,660.3717041015625
2626.5,660.3113403320312
2627.5,660.24072265625
2628.5,660.177734375
2629.5,660.1032104492188
2630.5,660.0426635742188
2631.5,659.9708862304688
2632.5,659.9175415039062
2633.5,659.8428344726562
2634.5,659.7725219726562
2635.5,659.7074584960938
2636.5,659.6549072265625
2637.5,659.600341796875
2638.5,659.5327758789062
2639.5,659.4805297851562
2640.5,659.4112548828125
2641.5,659.364990234375
2642.5,659.3060913085938
2643.5,659.2401733398438
2644.5,659.1786499023438
2645.5,659.106201171875
2646.5,659.0335083007812
2647.5,658.976318359375
2648.5,658.9190063476562
2649.5,658.8637084960938
2650.5,658.7994384765625
2651.5,658.7372436523438
2652.5,658.6754760742188
2653.5,658.607177734375
2654.5,658.546630859375
2655.5,658.491455078125
2656.5,658.4367065429688
2657.5,658.3889770507812
2658.5,658.3308715820312
2659.5,658.271240234375
2660.5,658.2071533203125
2661.5,658.150634765625
2662.5,658.0931396484375
2663.5,658.03857421875
2664.5,657.9793701171875
2665.5,657.9172973632812
2666.5,657.8610229492188
2667.5,657.8026123046875
2668.5,657.7556762695312
2669.5,657.7086791992188
2670.5,657.6484375
2671.5,657.5925903320312
2672.5,657.5394287109375
2673.5,657.487060546875
2674.5,657.4362182617188
2675.5,657.390380859375
2676.5,657.334228515625
2677.5,657.2747802734375
2678.5,657.2232055664062
2679.5,657.1576538085938
2680.5,657.1123657226562
2681.5,657.0554809570312
2682.5,657.0077514648438
2683.5,656.9591674804688
2684.5,656.9021606445312
2685.5,656.8493041992188
2686.5,656.811279296875
2687.5,656.7574462890625
2688.5,656.7095947265625
2689.5,656.6494140625
2690.5,656.6025390625
2691.5,656.5399780273438
2692.5,656.4903564453125
2693.5,656.4308471679688
2694.5,656.376220703125
2695.5,656.319091796875
2696.5,656.2637329101562
2697.5,656.2127685546875
2698.5,656.1672973632812
2699.5,656.1190795898438
2700.5,656.0695190429688
2701.5,656.0020751953125
2702.5,655.951416015625
2703.5,655.8904418945312
2704.5,655.85009765625
2705.5,655.79833984375
2706.5,655.74853515625
2707.5,655.6947021484375
2708.5,655.6477661132812
2709.5,655.5866088867188
2710.5,655.5491943359375
