Time (year),cLand (PgC)
2737.5,3184.798095703125
2738.5,3184.810302734375
2739.5,3184.8037109375
2740.5,3184.8125
2741.5,3184.810546875
2742.5,3184.80712890625
2743.5,3184.763427734375
2744.5,3184.759033203125
2745.5,3184.735595703125
2746.5,3184.734130859375
2747.5,3184.70654296875
2748.5,3184.708984375
2749.5,3184.673828125
2750.5,3184.64208984375
2751.5,3184.602294921875
2752.5,3184.560546875
2753.5,3184.5380859375
2754.5,3184.50341796875
2755.5,3184.470703125
2756.5,3184.4345703125
2757.5,3184.43115234375
2758.5,3184.41357421875
2759.5,3184.437744140625
2760.5,3184.43359375
2761.5,3184.44921875
2762.5,3184.42578125
2763.5,3184.415771484375
2764.5,3184.40576171875
2765.5,3184.397216796875
2766.5,3184.3583984375
2767.5,3184.32373046875
2768.5,3184.240234375
2769.5,3184.182373046875
2770.5,3184.111083984375
2771.5,3184.053466796875
2772.5,3183.993408203125
2773.5,3183.97021484375
2774.5,3183.899169921875
2775.5,3183.86181640625
2776.5,3183.833984375
2777.5,3183.810546875
2778.5,3183.77294921875
2779.5,3183.79248046875
2780.5,3183.794677734375
2781.5,3183.79345703125
2782.5,3183.833251953125
2783.5,3183.85009765625
2784.5,3183.882568359375
2785.5,3183.87109375
2786.5,3183.893798828125
2787.5,3183.898193359375
2788.5,3183.907470703125
2789.5,3183.8896484375
2790.5,3183.863525390625
2791.5,3183.821533203125
2792.5,3183.801025390625
2793.5,3183.7890625
2794.5,3183.789306640625
2795.5,3183.797607421875
2796.5,3183.826171875
2797.5,3183.84912109375
2798.5,3183.872802734375
2799.5,3183.9091796875
2800.5,3183.939208984375
2801.5,3183.96044921875
2802.5,3184.003173828125
2803.5,3184.006103515625
2804.5,3184.02392578125
2805.5,3184.02001953125
2806.5,3184.0361328125
2807.5,3184.043701171875
2808.5,3184.05615234375
2809.5,3184.05224609375
2810.5,3184.038330078125
2811.5,3184.033203125
2812.5,3184.02001953125
2813.5,3184.04150390625
2814.5,3184.05712890625
2815.5,3184.094970703125
2816.5,3184.10400390625
2817.5,3184.135009765625
2818.5,3184.158935546875
2819.5,3184.179931640625
2820.5,3184.2041015625
2821.5,3184.208740234375
2822.5,3184.198486328125
2823.5,3184.193115234375
2824.5,3184.216552734375
2825.5,3184.206787109375
2826.5,3184.230712890625
2827.5,3184.212158203125
2828.5,3184.211669921875
2829.5,3184.1982421875
2830.5,3184.178466796875
2831.5,3184.18896484375
2832.5,3184.181396484375
2833.5,3184.1865234375
2834.5,3184.158935546875
2835.5,3184.175537109375
2836.5,3184.1826171875
2837.5,3184.20751953125
2838.5,3184.213134765625
2839.5,3184.24267578125
2840.5,3184.254638671875
2841.5,3184.24951171875
2842.5,3184.23583984375
2843.5,3184.23193359375
2844.5,3184.22509765625
2845.5,3184.208251953125
2846.5,3184.214111328125
2847.5,3184.185791015625
2848.5,3184.179931640625
2849.5,3184.1494140625
