Time (year),tas (K)
2213.5,288.5727233886719
2214.5,288.5737609863281
2215.5,288.57476806640625
2216.5,288.5770263671875
2217.5,288.57672119140625
2218.5,288.57574462890625
2219.5,288.574462890625
2220.5,288.57305908203125
2221.5,288.5716552734375
2222.5,288.5692443847656
2223.5,288.5687561035156
2224.5,288.5697326660156
2225.5,288.57061767578125
2226.5,288.57086181640625
2227.5,288.5711364746094
2228.5,288.5714111328125
2229.5,288.5719299316406
2230.5,288.57305908203125
2231.5,288.57305908203125
2232.5,288.5714111328125
2233.5,288.5700378417969
2234.5,288.56805419921875
2235.5,288.5682373046875
2236.5,288.56878662109375
2237.5,288.5683898925781
2238.5,288.56878662109375
2239.5,288.56817626953125
2240.5,288.5688781738281
2241.5,288.5705261230469
2242.5,288.5703125
2243.5,288.5693054199219
2244.5,288.56951904296875
2245.5,288.5684814453125
2246.5,288.56884765625
2247.5,288.568603515625
2248.5,288.5672302246094
2249.5,288.56671142578125
2250.5,288.5661926269531
2251.5,288.5668029785156
2252.5,288.5679626464844
2253.5,288.5666809082031
2254.5,288.56561279296875
2255.5,288.5648498535156
2256.5,288.5653076171875
2257.5,288.56640625
2258.5,288.5671081542969
2259.5,288.5665283203125
2260.5,288.5670166015625
2261.5,288.5675048828125
2262.5,288.5677185058594
2263.5,288.5699157714844
2264.5,288.5711975097656
2265.5,288.57037353515625
2266.5,288.5693664550781
2267.5,288.5661315917969
2268.5,288.5652770996094
2269.5,288.5675048828125
2270.5,288.56982421875
2271.5,288.5706787109375
2272.5,288.56927490234375
2273.5,288.56842041015625
2274.5,288.56768798828125
2275.5,288.5693359375
2276.5,288.5735168457031
2277.5,288.575439453125
2278.5,288.57464599609375
2279.5,288.57220458984375
2280.5,288.5705871582031
2281.5,288.5714416503906
2282.5,288.5730895996094
2283.5,288.5769958496094
2284.5,288.57818603515625
2285.5,288.5764465332031
2286.5,288.5751647949219
2287.5,288.5732116699219
2288.5,288.5736389160156
2289.5,288.5762939453125
2290.5,288.5769958496094
2291.5,288.5763854980469
2292.5,288.57464599609375
2293.5,288.5716247558594
2294.5,288.5720520019531
2295.5,288.5746154785156
2296.5,288.5789489746094
2297.5,288.5791015625
2298.5,288.57861328125
2299.5,288.5770263671875
2300.5,288.57623291015625
2301.5,288.5788269042969
2302.5,288.58013916015625
2303.5,288.5848693847656
2304.5,288.5854797363281
2305.5,288.5827941894531
2306.5,288.57940673828125
2307.5,288.5765686035156
2308.5,288.5772705078125
2309.5,288.5799560546875
2310.5,288.58062744140625
2311.5,288.5807189941406
2312.5,288.5779113769531
2313.5,288.578125
2314.5,288.5789489746094
2315.5,288.5823669433594
2316.5,288.5870056152344
2317.5,288.5885009765625
2318.5,288.5878601074219
2319.5,288.5869140625
2320.5,288.5833435058594
2321.5,288.58209228515625
2322.5,288.58294677734375
2323.5,288.584716796875
2324.5,288.58441162109375
2325.5,288.5828552246094
2326.5,288.58099365234375
2327.5,288.5822448730469
2328.5,288.585205078125
2329.5,288.5884094238281
2330.5,288.5931396484375
2331.5,288.5955810546875
2332.5,288.59423828125
2333.5,288.5933837890625
2334.5,288.5906982421875
2335.5,288.59051513671875
2336.5,288.5930480957031
2337.5,288.5915222167969
2338.5,288.5898742675781
